date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:29	68580/68580	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jan%202018%2015:46:29%20GMT	https://konservative.dk/politisk-horisont/aargang-2017/nr-4/erhvervsminister-sejr-erhvervslivet-hele-danmark/	C:/My%20Web%20Sites/Morten/konservative.dk/politisk-horisont/aargang-2017/nr-4/erhvervsminister-sejr-erhvervslivet-hele-danmark/index.html	(from https://konservative.dk/politisk-horisont/aargang-2017/nr-4/)
21:16:29	30963/30963	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Nov%202017%2003:48:57%20GMT	https://cdn.konservative.dk/wp-content/uploads/sites/8/2017/10/34378-Politisk-Horisont-3-17-revPAL_na-2-650x316.jpg	C:/My%20Web%20Sites/Morten/cdn.konservative.dk/wp-content/uploads/sites/8/2017/10/34378-Politisk-Horisont-3-17-revPAL_na-2-650x316.jpg	(from https://konservative.dk/politisk-horisont/aargang-2017/nr-4/)
21:16:30	37604/37604	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Dec%202017%2009:51:29%20GMT	https://cdn.konservative.dk/wp-content/uploads/sites/8/2017/12/julestemning_chrb3-650x325.jpg	C:/My%20Web%20Sites/Morten/cdn.konservative.dk/wp-content/uploads/sites/8/2017/12/julestemning_chrb3-650x325.jpg	(from https://konservative.dk/politisk-horisont/aargang-2017/nr-4/)
21:16:31	75052/75052	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jan%202018%2015:46:31%20GMT	https://konservative.dk/politisk-horisont/aargang-2017/nr-4/konservative-borgmestre-kommunalvalget-2017/	C:/My%20Web%20Sites/Morten/konservative.dk/politisk-horisont/aargang-2017/nr-4/konservative-borgmestre-kommunalvalget-2017/index.html	(from https://konservative.dk/politisk-horisont/aargang-2017/nr-4/)
21:16:31	14522/14522	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Oct%202017%2015:14:13%20GMT	https://cdn.konservative.dk/wp-content/uploads/sites/8/2017/10/buster-400x230.jpg	C:/My%20Web%20Sites/Morten/cdn.konservative.dk/wp-content/uploads/sites/8/2017/10/buster-400x230.jpg	(from https://konservative.dk/politisk-horisont/aargang-2017/nr-4/)
21:16:33	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jan%202018%2015:46:29%20GMT	https://konservative.dk/politisk-horisont/aargang-2017/nr-4/regionraadsvalget-tider-oversete-valg/	C:/My%20Web%20Sites/Morten/konservative.dk/politisk-horisont/aargang-2017/nr-4/regionraadsvalget-tider-oversete-valg/index.html	(from https://konservative.dk/politisk-horisont/aargang-2017/nr-4/)
21:16:33	68503/68503	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jan%202018%2015:46:33%20GMT	https://konservative.dk/politisk-horisont/aargang-2017/nr-4/julestemning-paa-christiansborg/	C:/My%20Web%20Sites/Morten/konservative.dk/politisk-horisont/aargang-2017/nr-4/julestemning-paa-christiansborg/index.html	(from https://konservative.dk/politisk-horisont/aargang-2017/nr-4/)
21:16:33	68622/68622	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Dec%202017%2010:09:58%20GMT	https://cdn.konservative.dk/wp-content/uploads/sites/8/2017/12/tre-solstr%c3%a5lehistorier-galleri.png	C:/My%20Web%20Sites/Morten/cdn.konservative.dk/wp-content/uploads/sites/8/2017/12/tre-solstr%c3%a5lehistorier-galleri.png	(from https://konservative.dk/politisk-horisont/aargang-2017/nr-4/)
21:16:34	31002/31002	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20Dec%202017%2012:33:27%20GMT	https://cdn.konservative.dk/wp-content/uploads/sites/8/2017/12/DSF2328-1200px-650x325.jpg	C:/My%20Web%20Sites/Morten/cdn.konservative.dk/wp-content/uploads/sites/8/2017/12/DSF2328-1200px-650x325.jpg	(from https://konservative.dk/politisk-horisont/aargang-2017/nr-4/)
21:16:35	67788/67788	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jan%202018%2015:46:35%20GMT	https://konservative.dk/politisk-horisont/aargang-2017/nr-4/haardt-arbejde-betaler-sig/	C:/My%20Web%20Sites/Morten/konservative.dk/politisk-horisont/aargang-2017/nr-4/haardt-arbejde-betaler-sig/index.html	(from https://konservative.dk/politisk-horisont/aargang-2017/nr-4/)
21:16:36	36084/36084	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20Dec%202017%2012:33:38%20GMT	https://cdn.konservative.dk/wp-content/uploads/sites/8/2017/12/10327825-1200px-650x325.jpg	C:/My%20Web%20Sites/Morten/cdn.konservative.dk/wp-content/uploads/sites/8/2017/12/10327825-1200px-650x325.jpg	(from https://konservative.dk/politisk-horisont/aargang-2017/nr-4/)
21:16:37	69749/69749	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jan%202018%2015:46:37%20GMT	https://konservative.dk/politisk-horisont/aargang-2017/nr-4/tre-groenne-solstraalehistorier-kv-17/	C:/My%20Web%20Sites/Morten/konservative.dk/politisk-horisont/aargang-2017/nr-4/tre-groenne-solstraalehistorier-kv-17/index.html	(from https://konservative.dk/politisk-horisont/aargang-2017/nr-4/)
21:16:38	199/199	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jan%202018%2015:46:38%20GMT	http://konservative.dk/robots.txt		(from https://konservative.dk/partiet/)
